rec,presence,site,year,month,day,hour,minute,species,songtype
20200320_220000.flac,0,Yat1,2020,3,20,22,0,sp44,Nocturnal Song
20200320_223000.flac,0,Yat1,2020,3,20,22,30,sp44,Nocturnal Song
20200320_230000.flac,0,Yat1,2020,3,20,23,0,sp44,Nocturnal Song
20200320_233000.flac,0,Yat1,2020,3,20,23,30,sp44,Nocturnal Song
20200321_180000.flac,0,Yat1,2020,3,21,18,0,sp44,Nocturnal Song
20200321_183000.flac,0,Yat1,2020,3,21,18,30,sp44,Nocturnal Song
20200321_190000.flac,0,Yat1,2020,3,21,19,0,sp44,Nocturnal Song
20200321_193000.flac,0,Yat1,2020,3,21,19,30,sp44,Nocturnal Song
20200321_200000.flac,0,Yat1,2020,3,21,20,0,sp44,Nocturnal Song
20200321_203000.flac,0,Yat1,2020,3,21,20,30,sp44,Nocturnal Song
20200321_210000.flac,0,Yat1,2020,3,21,21,0,sp44,Nocturnal Song
20200321_213000.flac,0,Yat1,2020,3,21,21,30,sp44,Nocturnal Song
20200321_220000.flac,0,Yat1,2020,3,21,22,0,sp44,Nocturnal Song
20200321_223000.flac,0,Yat1,2020,3,21,22,30,sp44,Nocturnal Song
20200321_230000.flac,0,Yat1,2020,3,21,23,0,sp44,Nocturnal Song
20200321_233000.flac,0,Yat1,2020,3,21,23,30,sp44,Nocturnal Song
20200322_183000.flac,1,Yat1,2020,3,22,18,30,sp44,Nocturnal Song
20200322_190000.flac,0,Yat1,2020,3,22,19,0,sp44,Nocturnal Song
20200322_193000.flac,1,Yat1,2020,3,22,19,30,sp44,Nocturnal Song
20200322_200000.flac,1,Yat1,2020,3,22,20,0,sp44,Nocturnal Song
20200322_203000.flac,1,Yat1,2020,3,22,20,30,sp44,Nocturnal Song
20200322_210000.flac,1,Yat1,2020,3,22,21,0,sp44,Nocturnal Song
20200322_213000.flac,1,Yat1,2020,3,22,21,30,sp44,Nocturnal Song
20200322_220000.flac,0,Yat1,2020,3,22,22,0,sp44,Nocturnal Song
20200322_223000.flac,0,Yat1,2020,3,22,22,30,sp44,Nocturnal Song
20200322_230000.flac,0,Yat1,2020,3,22,23,0,sp44,Nocturnal Song
20200322_233000.flac,0,Yat1,2020,3,22,23,30,sp44,Nocturnal Song
20200323_180000.flac,0,Yat1,2020,3,23,18,0,sp44,Nocturnal Song
20200323_183000.flac,0,Yat1,2020,3,23,18,30,sp44,Nocturnal Song
20200323_190000.flac,0,Yat1,2020,3,23,19,0,sp44,Nocturnal Song
20200323_193000.flac,0,Yat1,2020,3,23,19,30,sp44,Nocturnal Song
20200323_200000.flac,0,Yat1,2020,3,23,20,0,sp44,Nocturnal Song
20200323_203000.flac,0,Yat1,2020,3,23,20,30,sp44,Nocturnal Song
20200323_210000.flac,0,Yat1,2020,3,23,21,0,sp44,Nocturnal Song
20200323_213000.flac,0,Yat1,2020,3,23,21,30,sp44,Nocturnal Song
20200323_220000.flac,0,Yat1,2020,3,23,22,0,sp44,Nocturnal Song
20200323_223000.flac,0,Yat1,2020,3,23,22,30,sp44,Nocturnal Song
20200323_230000.flac,0,Yat1,2020,3,23,23,0,sp44,Nocturnal Song
20200323_233000.flac,0,Yat1,2020,3,23,23,30,sp44,Nocturnal Song
20200324_180000.flac,0,Yat1,2020,3,24,18,0,sp44,Nocturnal Song
20200324_183000.flac,0,Yat1,2020,3,24,18,30,sp44,Nocturnal Song
20200324_190000.flac,0,Yat1,2020,3,24,19,0,sp44,Nocturnal Song
20200324_193000.flac,0,Yat1,2020,3,24,19,30,sp44,Nocturnal Song
20200324_200000.flac,0,Yat1,2020,3,24,20,0,sp44,Nocturnal Song
20200324_203000.flac,0,Yat1,2020,3,24,20,30,sp44,Nocturnal Song
20200324_210000.flac,0,Yat1,2020,3,24,21,0,sp44,Nocturnal Song
20200324_213000.flac,0,Yat1,2020,3,24,21,30,sp44,Nocturnal Song
20200324_220000.flac,0,Yat1,2020,3,24,22,0,sp44,Nocturnal Song
20200324_223000.flac,0,Yat1,2020,3,24,22,30,sp44,Nocturnal Song
20200324_230000.flac,0,Yat1,2020,3,24,23,0,sp44,Nocturnal Song
20200324_233000.flac,0,Yat1,2020,3,24,23,30,sp44,Nocturnal Song
20200325_180000.flac,0,Yat1,2020,3,25,18,0,sp44,Nocturnal Song
20200325_183000.flac,0,Yat1,2020,3,25,18,30,sp44,Nocturnal Song
20200325_193000.flac,0,Yat1,2020,3,25,19,30,sp44,Nocturnal Song
