id,recording,site,year,month,day,hour,min,species,songtype,validated
84963463,20200629_190000.flac,Yat1,2020,6,29,19,0,sp46,Common Song,present
84963466,20200723_110000.flac,Yat1,2020,7,23,11,0,sp46,Common Song,not present
84963469,20200805_000000.flac,Yat1,2020,8,5,0,0,sp46,Common Song,present
84963474,20200327_203000.flac,Yat1,2020,3,27,20,30,sp46,Common Song,present
84963481,20200824_030000.flac,Yat1,2020,8,24,3,0,sp46,Common Song,present
84963492,20201006_090000.flac,Yat1,2020,10,6,9,0,sp46,Common Song,not present
84963495,20200629_193000.flac,Yat1,2020,6,29,19,30,sp46,Common Song,present
84963496,20200421_210000.flac,Yat1,2020,4,21,21,0,sp46,Common Song,present
84963497,20200301_200000.flac,Yat1,2020,3,1,20,0,sp46,Common Song,present
84963514,20200428_013000.flac,Yat1,2020,4,28,1,30,sp46,Common Song,present
84963518,20200327_210000.flac,Yat1,2020,3,27,21,0,sp46,Common Song,present
84963524,20200625_013000.flac,Yat1,2020,6,25,1,30,sp46,Common Song,present
84963539,20200805_010000.flac,Yat1,2020,8,5,1,0,sp46,Common Song,present
84963545,20200327_213000.flac,Yat1,2020,3,27,21,30,sp46,Common Song,present
84963552,20200625_020000.flac,Yat1,2020,6,25,2,0,sp46,Common Song,present
84963557,20200629_203000.flac,Yat1,2020,6,29,20,30,sp46,Common Song,present
84963572,20200327_220000.flac,Yat1,2020,3,27,22,0,sp46,Common Song,present
84963580,20200709_060000.flac,Yat1,2020,7,9,6,0,sp46,Common Song,not present
84963584,20200715_210000.flac,Yat1,2020,7,15,21,0,sp46,Common Song,present
84963596,20200729_183000.flac,Yat1,2020,7,29,18,30,sp46,Common Song,present
84963601,20200403_020000.flac,Yat1,2020,4,3,2,0,sp46,Common Song,present
84963602,20200327_223000.flac,Yat1,2020,3,27,22,30,sp46,Common Song,present
84963613,20200823_233000.flac,Yat1,2020,8,23,23,30,sp46,Common Song,present
84963614,20200428_030000.flac,Yat1,2020,4,28,3,0,sp46,Common Song,present
84963625,20200629_213000.flac,Yat1,2020,6,29,21,30,sp46,Common Song,present
84963629,20200421_230000.flac,Yat1,2020,4,21,23,0,sp46,Common Song,present
84963639,20200327_230000.flac,Yat1,2020,3,27,23,0,sp46,Common Song,present
84963643,20200824_000000.flac,Yat1,2020,8,24,0,0,sp46,Common Song,present
84963664,20200421_233000.flac,Yat1,2020,4,21,23,30,sp46,Common Song,present
84963668,20200709_073000.flac,Yat1,2020,7,9,7,30,sp46,Common Song,not present
84963673,20200824_003000.flac,Yat1,2020,8,24,0,30,sp46,Common Song,present
84963677,20200327_233000.flac,Yat1,2020,3,27,23,30,sp46,Common Song,present
84963683,20200715_223000.flac,Yat1,2020,7,15,22,30,sp46,Common Song,present
84963690,20200629_223000.flac,Yat1,2020,6,29,22,30,sp46,Common Song,present
84963699,20200422_000000.flac,Yat1,2020,4,22,0,0,sp46,Common Song,present
84963701,20200709_080000.flac,Yat1,2020,7,9,8,0,sp46,Common Song,not present
84963707,20201012_190000.flac,Yat1,2020,10,12,19,0,sp46,Common Song,present
84963717,20200715_230000.flac,Yat1,2020,7,15,23,0,sp46,Common Song,present
84963722,20200629_230000.flac,Yat1,2020,6,29,23,0,sp46,Common Song,present
84963733,20200422_003000.flac,Yat1,2020,4,22,0,30,sp46,Common Song,present
84963744,20200328_000000.flac,Yat1,2020,3,28,0,0,sp46,Common Song,present
84963757,20200403_043000.flac,Yat1,2020,4,3,4,30,sp46,Common Song,present
84963760,20201012_200000.flac,Yat1,2020,10,12,20,0,sp46,Common Song,present
84963763,20200824_020000.flac,Yat1,2020,8,24,2,0,sp46,Common Song,present
84963774,20200709_090000.flac,Yat1,2020,7,9,9,0,sp46,Common Song,not present
84963779,20200422_010000.flac,Yat1,2020,4,22,1,0,sp46,Common Song,present
84963785,20200805_053000.flac,Yat1,2020,8,5,5,30,sp46,Common Song,not present
84963795,20200321_233000.flac,Yat1,2020,3,21,23,30,sp46,Common Song,present
84963809,20200709_213000.flac,Yat1,2020,7,9,21,30,sp46,Common Song,present
84963811,20200428_060000.flac,Yat1,2020,4,28,6,0,sp46,Common Song,not present
84963816,20200823_213000.flac,Yat1,2020,8,23,21,30,sp46,Common Song,present
84963820,20200422_013000.flac,Yat1,2020,4,22,1,30,sp46,Common Song,present
84963822,20201012_210000.flac,Yat1,2020,10,12,21,0,sp46,Common Song,present
